S 34c6d8,4 hit 
L 30c844,4 hit 
S 34c7e4,4 hit 
L 30c848,4 hit 
S 34c8f0,4 hit 
L 30c570,4 hit 
S 34c9f0,4 miss eviction 
L 30c574,4 hit 
S 34cafc,4 miss eviction 
L 30c578,4 hit 
S 34cc08,4 miss eviction 
L 30c57c,4 hit 
S 34cd14,4 miss eviction 
L 30c664,4 hit 
S 34c9f4,4 hit 
L 30c668,4 hit 
S 34cb00,4 miss eviction 
L 30c66c,4 hit 
S 34cc0c,4 hit 
L 30c670,4 hit 
S 34cd18,4 hit 
L 30c758,4 hit 
S 34c9f8,4 hit 
L 30c75c,4 hit 
S 34cb04,4 hit 
L 30c760,4 miss eviction 
S 34cc10,4 hit 
L 30c764,4 hit 
S 34cd1c,4 hit 
L 30c84c,4 hit 
S 34c9fc,4 hit 
L 30c850,4 hit 
S 34cb08,4 hit 
L 30c854,4 hit 
S 34cc14,4 hit 
L 30c858,4 hit 
S 34cd20,4 miss eviction 
L 30c580,4 miss eviction 
S 34ce20,4 miss eviction 
L 30c584,4 hit 
S 34cf2c,4 miss eviction 
L 30c588,4 hit 
S 34d038,4 miss eviction 
L 30c58c,4 hit 
S 34d144,4 miss eviction 
L 30c674,4 hit 
S 34ce24,4 hit 
L 30c678,4 hit 
S 34cf30,4 hit 
L 30c67c,4 hit 
S 34d03c,4 hit 
L 30c680,4 miss eviction 
S 34d148,4 hit 
L 30c768,4 hit 
S 34ce28,4 hit 
L 30c76c,4 hit 
S 34cf34,4 hit 
L 30c770,4 hit 
S 34d040,4 miss eviction 
L 30c774,4 hit 
S 34d14c,4 hit 
L 30c85c,4 miss eviction 
S 34ce2c,4 hit 
L 30c860,4 miss eviction 
S 34cf38,4 hit 
L 30c864,4 hit 
S 34d044,4 miss eviction 
L 30c868,4 hit 
S 34d150,4 hit 
L 30c590,4 hit 
S 34d250,4 miss eviction 
L 30c594,4 hit 
S 34d35c,4 miss eviction 
L 30c598,4 hit 
S 34d468,4 miss eviction 
L 30c59c,4 hit 
